,sugar beetrec,sugar beetprec,sugar beetscore
0,0.017857142857142856,1.0,0.9999644756317139
1,0.03571428571428571,1.0,0.9998505115509033
2,0.05357142857142857,1.0,0.9993926286697388
3,0.07142857142857142,1.0,0.9993771910667419
4,0.08928571428571429,1.0,0.9989523887634277
5,0.10714285714285714,1.0,0.9988131523132324
6,0.125,1.0,0.9985589385032654
7,0.14285714285714285,1.0,0.9984838366508484
8,0.16071428571428573,1.0,0.9984745383262634
9,0.17857142857142858,1.0,0.998457670211792
10,0.19642857142857142,1.0,0.9982286095619202
11,0.21428571428571427,1.0,0.9979242086410522
12,0.23214285714285715,1.0,0.9978481531143188
13,0.25,1.0,0.997280478477478
14,0.26785714285714285,1.0,0.9971874356269836
15,0.2857142857142857,1.0,0.9965644478797913
16,0.30357142857142855,1.0,0.9964700937271118
17,0.32142857142857145,1.0,0.9964224100112915
18,0.3392857142857143,1.0,0.9963937401771545
19,0.35714285714285715,1.0,0.9958187937736511
20,0.375,1.0,0.9956561326980591
21,0.39285714285714285,1.0,0.9956048727035522
22,0.4107142857142857,1.0,0.9950217008590698
23,0.42857142857142855,1.0,0.9941484928131104
24,0.44642857142857145,1.0,0.9935943484306335
25,0.4642857142857143,1.0,0.9926064014434814
26,0.48214285714285715,1.0,0.99210524559021
27,0.5,1.0,0.9915348291397095
28,0.5178571428571429,1.0,0.9913399815559387
29,0.5357142857142857,1.0,0.9913193583488464
30,0.5535714285714286,1.0,0.9885385632514954
31,0.5714285714285714,1.0,0.9861270189285278
32,0.5892857142857143,1.0,0.9840174317359924
33,0.6071428571428571,1.0,0.9773756265640259
34,0.625,1.0,0.9772995710372925
35,0.6428571428571429,1.0,0.9733125567436218
36,0.6607142857142857,1.0,0.97199946641922
37,0.6785714285714286,1.0,0.9705158472061157
38,0.6964285714285714,1.0,0.9684272408485413
39,0.7142857142857143,1.0,0.9676740765571594
40,0.7321428571428571,1.0,0.9585042595863342
41,0.75,1.0,0.9551796913146973
